"Algorithm","Hash","Path"
"SHA256","04C41DAFB6749DC1E800F571D7D11F2AD2BDF7F4E24866ABE43A4FE34C2C2324","C:\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","08DD2FFAB7D606C1C07E4BD9C31AFDA087C13869A6D010450FF49C26DA9DB2A0","C:\LAB3\Evidence\autoruns_after.csv"
"SHA256","1B8ABE4DA869EA369C4AA59A1D324A01826714FD4B30F6EBAE03534AB1C45A06","C:\LAB3\Evidence\autoruns_before.csv"
"SHA256","102DFBA3BD64C136998F195A83FF2ECC44D384E9D47119456BB2299737104521","C:\LAB3\Evidence\autoruns_diff.txt"
"SHA256","62C1E74B39C96C61A83B1F26A7EB4DAAA51521EC24007744BA3BEA08219B1406","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","63422460F398A5848552423D9D47BE7DCFA852A2F1765D5FE2F5716726FB9A40","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","4F67712266E89E6CDEEC848AA49892C8BE401BDDA0611D11929A8762FE92CA0D","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","39230CCDA7EB2E065010601CB96DC19F6033C1A520FCE5E56777E7D7143EA5C7","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","02C94EF9DE46253E355F52C43D4BE65045101AA8394D0C30DD78C5DE2995E706","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","24E5D8450835390AF3D1D2515D13F7773CFCA6469FD627145D6BD6AD12CE84AC","C:\LAB3\Evidence\ddos_sources.txt"
"SHA256","EDF6C92570CD8EFA77772873B9108EDE1A3AB300AC04B7A00D723903D5B46190","C:\LAB3\Evidence\defender_eicar.txt"
"SHA256","E10B7DE7EEE6ED9D120734B48D3938D5433A1B9C038AFF248B8CE085E2A720D6","C:\LAB3\Evidence\local_load_test.txt"
"SHA256","E7FD8D985E5F9B042B92A2DA6E06077815242EE5293D38BD074AD5476AB0D24E","C:\LAB3\Evidence\mail_sender_counts.txt"
"SHA256","2AB9646BC50CE4D3326BA3B3A2F28583D23FA2E3E7B26A54081E06D8A3A5AD96","C:\LAB3\Evidence\mail_volume.txt"
"SHA256","73B473D5CE27C5892B0F0E86B265BCF9D214653106B92AAFCDDA6435D33BBBE1","C:\LAB3\Evidence\start_time.txt"
"SHA256","5C17AEB440FDEECE0CDABEDEABFB5A377AF113E5D0B92095BC5680461ABB0EF0","C:\LAB3\Evidence\task_ran.txt"
